"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANO2",107.692801092264,1.24884302833499,0.250318893457888,4.98900826495181,6.06900507703146e-07,7.33621333711563e-05
"ARMC10",233.57119732539,-0.815451909046259,0.163600862904304,-4.98439858182927,6.21548363138143e-07,7.34538216414765e-05
"ACP2",343.817194776161,-0.710078387662649,0.14238068912604,-4.98718184341744,6.12663950457643e-07,7.34538216414765e-05
"QRICH2",372.891321921214,1.33869613890327,0.268538851766942,4.98511157731875,6.19260660900677e-07,7.34538216414765e-05
"ALYREF",217.090327451132,-0.633685123646379,0.127083198427798,-4.98638003674738,6.15210756425752e-07,7.34538216414765e-05
"PCCB",631.905515475273,-1.17931590906294,0.236793072890537,-4.98036490116459,6.3464493784213e-07,7.45848834172912e-05
"MYDGF",235.492683570427,-0.6097494675131,0.122571143824946,-4.97465756201095,6.53630814356335e-07,7.63917472204084e-05
"KPNB1",2052.97999741085,-0.530154238785671,0.10664173492482,-4.97135796936741,6.64855617219621e-07,7.72766798168344e-05
"SPECC1L",462.879819470806,0.66705137724406,0.134245224854946,4.96890208173004,6.73330587829543e-07,7.78340724313998e-05
"FH",382.776409339045,-0.805924965740705,0.162462414753846,-4.96068562665277,7.02447977545623e-07,8.04048115987936e-05
"ARHGDIA",2818.87524242271,-0.61360573422404,0.123698721423089,-4.9604856635932,7.0317151109846e-07,8.04048115987936e-05
"MAGED2",1296.25361512606,-0.616039360692045,0.124267873995387,-4.9573501250606,7.14611287815544e-07,8.12735870024194e-05
"TBX3",111.826152415147,1.24032037907794,0.250301635363498,4.95530273814111,7.22177569679258e-07,8.16948893529145e-05
"EXOC3-AS1",61.8052076628787,-1.09030382648026,0.220304432398825,-4.94907803083345,7.45658504415366e-07,8.39024468212907e-05
"TEKT2",30.0997906912559,1.13344780040931,0.229398651781966,4.94095231861522,7.77419201033403e-07,8.67213096579859e-05
"PRPF6",1502.04959425073,-0.582188599397749,0.117838132486552,-4.9405789714479,7.78909371041757e-07,8.67213096579859e-05
"PSMB5",563.162421783418,-0.651260404657983,0.131892002940059,-4.93783087784301,7.89963028446528e-07,8.74915073495176e-05
"CHCHD2",515.667826742603,-0.694696951644722,0.140875922333213,-4.93126816945736,8.16974860329578e-07,9.00119072677702e-05
"SH3BP5",487.053686225349,-0.888951451011346,0.180444067226701,-4.92646538439256,8.37304374135983e-07,9.13805756708984e-05
"CEP112",271.346172701145,0.836835450809809,0.169905849481776,4.92528923143147,8.42356634954391e-07,9.13805756708984e-05
"CHMP2A",573.452618824665,-0.489606999609051,0.0993944179697922,-4.92590036351791,8.39727814233762e-07,9.13805756708984e-05
"ETFB",747.668563060496,-0.873971994585262,0.177584779672078,-4.92143525024559,8.59118265844302e-07,9.27234071207672e-05
"SMAD4",1067.90696063233,0.496724425158547,0.100964083461327,4.91981314670986,8.6626870864304e-07,9.30205495565221e-05
"PYCR2",677.132994029509,-0.878678077216725,0.178720686252978,-4.9164878204024,8.81106770201746e-07,9.41360233174128e-05
"RNF4",517.702350993196,-0.38444521628942,0.0782310077376424,-4.91423065363935,8.91317675434376e-07,9.47130425927065e-05
"CEP41",241.378145596173,-0.749642405346452,0.152573446346657,-4.91332157263601,8.95462253878288e-07,9.47130425927065e-05
"PRKAG1",269.561611145268,-0.578545224011309,0.117953028916223,-4.90487806313329,9.34853962392819e-07,9.82513536529722e-05
"TRAPPC2L",357.278693842536,-0.847306530480931,0.172772462112113,-4.90417581669414,9.38204284669584e-07,9.82513536529722e-05
"LHX4-AS1",89.4797591743163,1.11640008026966,0.227735767448704,4.90217278022049,9.47824130346761e-07,9.87698111002728e-05
"GSDMB",155.63304635818,1.43190734270074,0.292220339483259,4.90009472041825,9.57904621623898e-07,9.91730598461356e-05
"ELMO2",1175.52290558929,-0.492958895515904,0.100615221516876,-4.89944650604602,9.61070117635331e-07,9.91730598461356e-05
